Symbol,Company Name,Industry,Market Cap
ARYE,Arya Sciences Acquisition V,Blank Check / SPAC,187643960
ASA,ASA Gold and Precious Metals,Capital Markets,300343743
ASAI,Sendas Distribuidora,Food & Staples Retailing,4565462479
ASAN,Asana,Software,5214999052
ASAQ,Atlantic Street Acquisition,Blank Check / SPAC,311249980
ASAX,Astrea Acquisition,Blank Check / SPAC,217289740
ASB,Associated Banc-Corp,Banks,3052694448
ASC,Ardmore Shipping,"Oil, Gas & Consumable Fuels",323949339
ASCA,A SPAC I Acquisition,Blank Check / SPAC,86418360
ASCB,A SPAC II Acquisition,Blank Check / SPAC,250217000
ASGN,ASGN Incorporated,Professional Services,5181230091
ASH,Ashland Global Holdings,Chemicals,5568508295
ASIX,AdvanSix,Chemicals,1110642416
ASLE,AerSale,Airports & Air Services,931936443
ASLN,ASLAN Pharmaceuticals,Biotechnology,37662138
ASM,Avino Silver & Gold Mines,Metals & Mining,74386569
